description,manufacturer,barcode,mch_levels
Gaming Laptop 15 inch,ASUS,8888888888,Electronics > Laptops > Gaming
iPhone 13 Pro Max,Apple,9999999999,Electronics > Smartphones > iPhone
The Martian Novel,Random House,9780553418026,Books > Fiction > Science Fiction
Office Chair Black,IKEA,7777777777,Home & Garden > Furniture > Tables
Chicken Caesar Sandwich,Store Brand,2000000001,Food & Beverage > Deli > Sandwiches
Energy Drink 500ml,Red Bull,9002490100070,Food & Beverage > Grab&Go > Drinks
Marvel Spider-Man Figure,Hasbro,6666666666,Toys > Action Figures > Marvel
Face Moisturizer SPF30,Neutrogena,5555555555,Health & Beauty > Skincare > Moisturizers
Camping Tent 4-Person,Coleman,4444444444,Sports > Outdoor > Camping
Non-Stick Frying Pan,Tefal,3333333333,Home & Garden > Kitchen > Cookware
